CY207731.1	HA	hk_2014_2015
CY207732.1	M	hk_2014_2015
CY207733.1	NA	hk_2014_2015
CY207734.1	NP	hk_2014_2015
CY207735.1	NS	hk_2014_2015
CY207736.1	PA	hk_2014_2015
CY207737.1	PB1	hk_2014_2015
CY207738.1	PB2	hk_2014_2015
CY121502.1	PB1	perth_2010_2012
CY121503.1	PB2	perth_2010_2012
CY121501.1	PA	perth_2010_2012
CY121496.1	HA	perth_2010_2012
CY121499.1	NP	perth_2010_2012
CY121498.1	NA	perth_2010_2012
CY121497.1	M	perth_2010_2012
CY121500.1	NS	perth_2010_2012
KJ942686.1	PB1	vic_2012_2013
KJ942687.1	PB2	vic_2012_2013
KJ942685.1	PA	vic_2012_2013
KJ942680.1	HA	vic_2012_2013
KJ942683.1	NP	vic_2012_2013
KJ942682.1	NA	vic_2012_2013
KJ942681.1	M	vic_2012_2013
KJ942684.1	NS	vic_2012_2013

